row_id,batch_id,table_name,clean_content_vi,clean_concept,primary_specialty_code,subspecialty_code,route_type,risk_class,emergency_action_code,retrieval_scope,allow_patient_retrieval,dataset_split,routing_rationale_vi,citation_url,embedding_input_text
B07_RTE_000021,B07,routing_rows,ngất đã tự hồi phục; không kèm đau ngực hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: ngất đã tự hồi phục; không kèm đau ngực hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000022,B07,routing_rows,ngất đã tự hồi phục; không kèm khó thở nặng hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: ngất đã tự hồi phục; không kèm khó thở nặng hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000023,B07,routing_rows,ngất đã tự hồi phục; tái phát nhưng hiện đã ổn | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: ngất đã tự hồi phục; tái phát nhưng hiện đã ổn | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000024,B07,routing_rows,ngất đã tự hồi phục; xảy ra thoáng qua | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: ngất đã tự hồi phục; xảy ra thoáng qua | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000025,B07,routing_rows,ngất đã tự hồi phục; không rõ nguyên nhân | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: ngất đã tự hồi phục; không rõ nguyên nhân | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000026,B07,routing_rows,thoáng ngất tái diễn; không kèm đau ngực hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: thoáng ngất tái diễn; không kèm đau ngực hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000027,B07,routing_rows,thoáng ngất tái diễn; không kèm khó thở nặng hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: thoáng ngất tái diễn; không kèm khó thở nặng hiện tại | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000028,B07,routing_rows,thoáng ngất tái diễn; tái phát nhưng hiện đã ổn | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: thoáng ngất tái diễn; tái phát nhưng hiện đã ổn | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000029,B07,routing_rows,thoáng ngất tái diễn; xảy ra thoáng qua | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: thoáng ngất tái diễn; xảy ra thoáng qua | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
B07_RTE_000030,B07,routing_rows,thoáng ngất tái diễn; không rõ nguyên nhân | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,syncope_or_presyncope,B07_LREF_SPEC_CARDIO,B07_LREF_SUB_ARRHYTHMIA,SPECIALTY,HIGH_CLINICAL,URGENT_HUMAN_TRIAGE,PATIENT_SAFE,True,PATIENT_ROUTING_REFERENCE,Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.,https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf,"[Chuyên khoa]: B07_LREF_SPEC_CARDIO - B07_LREF_SUB_ARRHYTHMIA
[Khái niệm]: syncope_or_presyncope
[Nội dung]: thoáng ngất tái diễn; không rõ nguyên nhân | Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Mức độ rủi ro]: HIGH_CLINICAL
[Khuyến nghị cấp cứu]: URGENT_HUMAN_TRIAGE
[Lý do lâm sàng]: Ngất/thoáng ngất/chóng mặt không rõ nguyên nhân là pattern cần đánh giá Tim mạch–nhịp tim; cần human triage vì mức độ có thể thay đổi.
[Nguồn tham chiếu]: https://kcb.vn/upload/2005611/20210723//Huong-dan-QTKT-Tim-Mach.pdf"
