row_id,batch_id,table_name,clean_concept,clean_content_vi,primary_specialty_code,subspecialty_code,risk_class,emergency_action_code,routing_rationale_vi,citation_url,embedding_input_text
B01_SPEC_000001,B01,specialties,Hồi sức cấp cứu và chống độc,Chuyên khoa taxonomy: Hồi sức cấp cứu và chống độc. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-01,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-01
[Khái niệm]: Hồi sức cấp cứu và chống độc
[Nội dung]: Chuyên khoa taxonomy: Hồi sức cấp cứu và chống độc. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000002,B01,specialties,Nội khoa,Chuyên khoa taxonomy: Nội khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-02,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-02
[Khái niệm]: Nội khoa
[Nội dung]: Chuyên khoa taxonomy: Nội khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000003,B01,specialties,Nhi khoa,Chuyên khoa taxonomy: Nhi khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-03,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-03
[Khái niệm]: Nhi khoa
[Nội dung]: Chuyên khoa taxonomy: Nhi khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000004,B01,specialties,Lao (ngoại lao),Chuyên khoa taxonomy: Lao (ngoại lao). Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-04,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-04
[Khái niệm]: Lao (ngoại lao)
[Nội dung]: Chuyên khoa taxonomy: Lao (ngoại lao). Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000005,B01,specialties,Da liễu,Chuyên khoa taxonomy: Da liễu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-05,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-05
[Khái niệm]: Da liễu
[Nội dung]: Chuyên khoa taxonomy: Da liễu. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000006,B01,specialties,Tâm thần,Chuyên khoa taxonomy: Tâm thần. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-06,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-06
[Khái niệm]: Tâm thần
[Nội dung]: Chuyên khoa taxonomy: Tâm thần. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000007,B01,specialties,Nội tiết,Chuyên khoa taxonomy: Nội tiết. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-07,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-07
[Khái niệm]: Nội tiết
[Nội dung]: Chuyên khoa taxonomy: Nội tiết. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000008,B01,specialties,Y học cổ truyền,Chuyên khoa taxonomy: Y học cổ truyền. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-08,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-08
[Khái niệm]: Y học cổ truyền
[Nội dung]: Chuyên khoa taxonomy: Y học cổ truyền. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000009,B01,specialties,Gây mê hồi sức,Chuyên khoa taxonomy: Gây mê hồi sức. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-09,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-09
[Khái niệm]: Gây mê hồi sức
[Nội dung]: Chuyên khoa taxonomy: Gây mê hồi sức. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
B01_SPEC_000010,B01,specialties,Ngoại khoa,Chuyên khoa taxonomy: Ngoại khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.,B01-SPEC-10,,MODERATE,NO_EMERGENCY_TRIGGER,,,"[Chuyên khoa]: B01-SPEC-10
[Khái niệm]: Ngoại khoa
[Nội dung]: Chuyên khoa taxonomy: Ngoại khoa. Phạm vi: nhãn chương trong Phụ lục 01; không phải entity cơ sở/booking.
[Mức độ rủi ro]: MODERATE
[Khuyến nghị cấp cứu]: NO_EMERGENCY_TRIGGER"
